tabooWord,word1,word2,word3,word4,word5
Absatz,Text,Schuh,Teil,Ferse,hinten
Abzug,Rauch,Küche,Gewehr,Pistole,Rabatt
Achterbahn,Kirmes,Rummel,Karussel,Looping,Fahren
Adapter,Strom,Steckdose,Laden,Stecker,USB
Adel,König,Hof,Herzog,Baron,Schicht
Akkordeon,Instrument,Musik,Konzertina,Harmonika,Luft
Alaska,USA,Norden,Staat,Schnee,Russland
Aluminium,Metall,leicht,wiegen,MacBook,hell
Ameise,Emsig,Haufen,Säure,Krabbeln,Insekt
Ameisenbär,Zunge,Tier,Haufen,Nase,klein
Ananas,Frucht,gelb,Boden,Hawaii,süß
Angst,Dunkelheit,Nacht,Monster,gruseln,Mut
Antenne,Funk,Empfang,Welle,Signal,Radio
Antwort,Frage,Satz,erwidern,Gespräch,Reaktion
Apfel,Frucht,Baum,rot,Essen,Adam
Appetit,Essen,Hunger,schmecken,Magen,lecker
Argentinien,Amerika,Brasilien,Buenos Aires,Maradona,Land
Arm,Geld,reich,besitzen,Hunger,Arbeit
Atlas,Karten,Welt,Deutschland,Strassen,Globus
Aufzug,Treppe,fahren,oben,Etage,hoch
Ausbildung,Schule,lernen,Beruf,Hilfe,Prüfung
Bagger,Fahrzeug,bauen,Erde,graben,Grube
Band,Buch,Schleife,lang,Streifen,schneiden
Bandit,Räuber,Schinderhannes,Überfallen,Maske,Stehlen
Bass,Tief,Stimme,Instrument,Elektrisch,Tenor
Batman,Maske,Gotham,Held,Comics,Robin
Bedürfnis,Essen,Trinken,Schlaf,Schutz,brauchen
Beifall,Zustimmung,Applaus,Klatschen,Pfeifen,Publikum
Beruf,Anstellung,Job,Karriere,Arbeit,Geld
Beteiligung,entscheiden,mitbestimmen,mitmachen,wählen,gemeinsam
Beute,Tier,fressen,fangen,Jagd,Opfer
Biber,Nagen,Zähne,Tier,Wasser,Damm
Bier,Brauen,Reinheitsgebot,Hopfen,Malz,Alkohol
Bildung,Schule,lernen,Bücher,Wissen,Hausaufgabe
Billard,Partie,Tisch,Karambolage,Queue,Pool
Biotop,Natur,Wasser,Pflanzen,Tiere,Gesund
Birke,Baum,Stamm,Pollen,Allergie,weiß
Bizeps,Muskel,Arm,trainieren,Schulter,anspannen
Blass,Farbe,Bleich,Blutleer,Gesicht,Rot
Botschafter,Politik,Ausland,Vertreten,Konsul,Vereinte Nationen
Brillant,Diamant,Kohlenstoff,Geschliffen,Funkeln,Edelstein
Bronchitis,Krank,Brust,Husten,Fieber,Grippe
Brücke,Über,Quer,Hängen,Pfeiler,Zahnarzt
Bumerang,Werfen,Australien,Zurück,Krumm,Gebogen
Büroklammer,Metall,Draht,Papier,Heften,Verbiegen
Chirurg,Arzt,Skalpell,Operieren,Schneiden,Krankenhaus
Chrom,Metall,Glanz,Spiegel,Felge,matt
Code,Schlüssel,Geheim,Zahl,Persönlich,Erkennen
Computer,Rechnen,Notebook,Laptop,Informatik,Programm
Datum,Jahr,Monat,Tag,Verabredung,Kalender
Deck,Schief,Boot,Kiel,Matrosen,Schrubben
Der Rote Platz,Moskau,Kremlin,Kommunisten,Russland,Parade
Dinosaurier,Alt,tot,Tier,Echse,sterben
Direktor,Chef,Boss,Vorstand,Etage,Sekretärin
Draht,Verbindung,Signal,Strom,dünn,Metall
Dschungel,Wald,Tropen,Mowgli,Amazonas,Liane
Durst,trinken,Wasser,Flüssigkeit,Sommer,trocken
E-Reader,Kindle,Buch,Digital,Tolino,Lesen
Ebbe,Flut,Mond,Täglich,Wasser,Watt
Egoist,Mensch,ich,Zentrum,Mitte,denken
Ehebruch,Heiraten,Affäre,Untreue,Fremdgehen,Braut
Eiche,Wald,Baum,Deutsch,Laub,Weichen
Einhorn,Pferd,Fabelwesen,Das letzte,Geweih,Kopf
Eisbär,bedroht,Nordpol,eisscholle,weiss,kalt
Eisen,Metall,Stahl,Guss,Gesundheit,Kanzler
Entspannung,Wellness,Massage,Ruhe,chillen,relaxen
Entwicklung,Veränderung,wachsen,neu,Idee,Land
Erwachsen,alt,jung,Volljährig,18,wahlberechtigt
Espresso,Kaffee,Italien,klein,Latte,heiss
Euter,Kuh,Brust,Zitze,Milch,Kalb
Falafel,Kichererbse,vegan,Knödel,Bällchen,frittieren
Fallschirm,Abspringen,Flugzeug,Höhe,Oben,Unten
Fan,Anhänger,Club,Fussball,Musik,Treu
Faultier,hängen,langsam,entspannt,Baum,chillen
Feder,Vogel,Daune,Weich,Leicht,Schreiben
Ferien,Sommer,Woche,Lager,frei,Zeugnis
Film,35 Millimeter,Bilder,Kamera,Kino,Entwickeln
Filter,Kaffee,durchlassen,Zigarette,rausnehmen,bleiben
Fischer,Fangen,Kutter,Netz,Angel,Chöre
Flaschenöffner,Bier,Limonade,aufmachen,dabei,Korken
Flüchtling,Asyl,Ausländer,Verfolgung,Krieg,Zuhause
Fondue,Gabeln,Teller,Sossen,Tauchen ,Käse
Fotograf,Bild,Kamera,Film,Schnappschuss,Vögelchen
Fotografie,Kamera,Bild,Festhalten,Knipsen,Newton
Freizeit,Hobby,Klavier,Sport,Ausflug,Arbeit
Freundschaft,mögen,spielen,Geheimnis,Vertrauen,Armband
Frost,Kalt,Eis,Winter,Wasser,Beissen
Führerschein,Fahren,Erlaubnis,Einziehen,Prüfung,Lizenz
Fussball,Spiel ,Mannschaft,Elf,Einwurf,Treten
Galerie,Gemälde,Kunst,Bilder,Museum,Vernissage
Gebiss,Zähne,Dentist,Tier,Kiefer,Mund
Gehalt,Lohn,Einkommen,Geld,Arbeit,Bank
Geheimnis,heimlich,schweigen,behalten,verstecken,Freund
Gehirn,Kopf,Denken,Intelligenz,Windungen,Spatzen
Genie,super,gut,Talent,besonders,toll
Gepäck,Koffer,Reise,Mitnehmen,Hotel,Marsch
Geruch,Duft,Aroma,Nase,Sinn,Schnuppern
Geschwister,Bruder,Schwester,verwandt,Familie,Streit
Gesetz,Regel,Gericht,Gefängnis,Vorschrift,Politik
Gewalt,schlagen,treten,Schmerz,schimpfen,ärgern
Gitarre,Instrument,Saite,Bass,Band,Metal
Glühbirne,Einschrauben,Gewinde,Glas,Osram,Durchbrennen
Gold,Metall,Edel,Ring,Schmuck,Silber
Grabstein,Monument,Friedhof,Beerdigen,Inschrift,Datum
Granate,Mombe,Krieg,explodieren,werfen,Bumm
Halle,Haus,Saal,Gross,Geräumig,Konzert
Handschellen,Detektiv,Fessel,Gelenk,Schlüssel,Houdini
Handschuhfach,Auto,Fahrzeugschein,Beifahrer,vorn,öffnen
Harem,Frau,Scheich,Moslem,Haus,wohnen
Hilfe,Notruf,Feuerwehr,Polizei,Erster,Unfall
Hitler,jude,holocaust,krieg,faschismus,Adolf
Holland,Land,Westen,Amsterdam,Tulpen,Käse
Hologramm,Dreidimensional,Abbildung,Laser,Licht,Modern
Hornhaut,Auge,sehen,Schicht,dick,Stier
Hummer,Krebs,Languste,Krabbe,Rot,Scheren
Hunger,Essen,satt,Bauch,Streik,Brot
Identität,Name,ich,Heimat,Personalausweis,Person
Iglu,Eskimo,Schnee,Eis,Haus,Wohnen
Ikone,Bild,Religion,Jesus,Kirche,beten
Illustrierte,Stern,Quick,Zeitschrift,Bilder,Lesen
Imitator,Tierstimmen,Nachmachen,Original,Kopie,Politiker
Infizieren,Virus,anstecken,krank,befallen,eindringen
Influencer,online,social,netzwerk,instagram,fan
Information,Datum,Bücher,Lehrer,Zeitung,Internet
Instagram,online,facebook,netz,posten,like
Irrgarten,Labyrinth,Faden,Ariadne,Verlaufen,Heraus
Jäger,Schiessen,Pirsch,Wild,Wald,Meister
Jalousie,Fenster,Sonne,Schutz,Lamelle,Rollladen
Jucken,Haut,Kratzen,Reiben,Insektenstich,Entzündung
Kakao,milch,trinken,schokolade,pulver,braun
Kakerlake,Insekt,Schabe,Küche,Bäckerei,Huschen
Katalysator,Auto,Auspuff,Abgase,Bleifrei,Platin
Kilometerzähler,Entfernung,Messen,Armatur,Gerät,Auto
Kind,Eltern,jung,Baby,klein,erwachsen
Kissen,Sofa,Kopf,Weich,Federn,schlafen
Komissar,Polizei,Krimi,Dienstgrad,Befördern,Detektiv
Komma,Punkt,Satz,Zeichen,Pause,trennen
Komödie,Theater,Schauspiel,Lustig,Lachen,Ohnesorg
Krabbe,Tier,Meer,Krebs,Seitwärts,Cocktail
Krank,gesund,Arzt,Medikament,Schnupfen,Virus
Krankenhaus,Arzt,gesund,besuchen,übernachten,Untersuchung
Krankenwagen,Unfall,Sanitäter,Blaulicht,Sirene,Vorfahrt
Krieg,Frieden,Waffe,Gewalt,Welt,Soldat
Kupfer,Metall,Rot,Grünspan,Messing,Pfennig
Lachen,Witz,Haha,Giggeln,Kichern,Fröhlich
Lagerfeuer,Brennen,Camping,Pfadfinder,Anzünden,Holz
Lampe,Licht,Lesen,Dunkel,Meister,Hase
Landschaft,Gegend,Natur,Unberührt,Szenerie,Gelände
Las Vegas,Spieler,Glück,Amerika,Boxen,Casino
Lasso,Seil,fangen,Schlinge,Tier,Hirte
Leben,Geburt,Tod,alt,Umwelt,Mensch
